AFEGANE AFEGANIST;AFN;AFEGANISTAO
RINGGIT/MALASIA;MYR;MALASIA
QUACHA/MALAVI;MWK;MALAVI
RUFIA/MALDIVAS;MVR;MALDIVAS
LIRA/MALTA;MTL;MALTA
DIRHAM/MARROCOS;MAD;MARROCOS
RUPIA/MAURICIO;MUR;MAURICIO
UGUIA MAURITANIA;MRO;MAURITANIA
UGUIA MAURITANIA;MRU;MAURITANIA
PESO MEXICANO;MEX$;MEXICO
PESO/MEXICO;MXN;MEXICO
QUIATE/BIRMANIA;MMK;MIANMAR (BIRMANIA)
METICAL MOCAMBIQ;MZM;MOCAMBIQUE
NOVA METICAL/MOCA;MZN;MOCAMBIQUE
LEU/MOLDAVIA, REP;MDL;MOLDAVIA, REPUBLICA DA
TUGRIK/MONGOLIA;MNT;MONGOLIA
DOLAR DA NAMIBIA;NAD;NAMIBIA
RUPIA/NEPAL;NPR;NEPAL
CORDOBA OURO;NIO;NICARAGUA
NAIRA NIGERIA;NGN;NIGERIA
COROA NORUEGUESA;NOK;NORUEGA
RIAL/OMA;OMR;OMA
FLORIM HOLANDES;NLG;PAISES BAIXOS (HOLANDA)
BALBOA/PANAMA;PAB;PANAMA
KINA DE PAPUA NOVA GUINE;PGK;PAPUA NOVA GUINE
RUPIA/PAQUISTAO;PKR;PAQUISTAO
GUARANI/PARAGUAI;PYG;PARAGUAI
INTI PERUANO;I;PERU
NOVO SOL/PERU;PEN;PERU
SOL PERUANO;S/.;PERU
FRANCO CFP;XPF;POLINESIA FRANCESA
ZLOTY/POLONIA;PLN;POLONIA, REPUBLICA DA
ESCUDO PORTUGUES;PTE;PORTUGAL
XELIM/QUENIA;KES;QUENIA
SOM DO QUIRGUISTAO;KGS;QUIRGUIZ, REPUBLICA
PESO/REP. DOMINIC;DOP;REPUBLICA DOMINICANA
LEU/ROMENIA;ROL;ROMENIA
NOVO LEU DA ROMENIA;RON;ROMENIA
FRANCO/RUANDA;RWF;RUANDA
RUBLO/RUSSIA;RUB;RUSSIA, FEDERACAO DA
DOLAR DAS ILHAS SALOMAO;SBD;SALOMAO, ILHAS
TALA;WS$;SAMOA
TALA DA SAMOA OCIDENTAL;WST;SAMOA
TALA SAMOA;WST;SAMOA
LIBRA DE SANTA HELENA;SHP;SANTA HELENA
DOBRA S TOME PRIN;STD;SAO TOME E PRINCIPE, ILHAS
DOBRA SÃO TOMÉ E PRÍNCIPE;STN;SAO TOME E PRINCIPE, ILHAS
LEONE/SERRA LEOA;SLL;SERRA LEOA
DINAR IUGOSLAVO;DIN;SERVIA
DINAR SERVIO SERVIA;RSD;SERVIA
NOVO DINAR IUGOSLAVO;YUM;SERVIA
RUPIA SEYCHELES;SCR;SEYCHELLES
LIBRA/SIRIA, REP;SYP;SIRIA, REPUBLICA ARABE DA
XELIM/SOMALIA;SOS;SOMALIA
RUPIA/SRI LANKA;LKR;SRI LANKA
LILANGENI/SUAZIL;SZL;SUAZILANDIA
NOVA LIBRA SUDANESA;SDG;SUDAO
LIBRA SUDANESA;LSD;SUDAO
LIBRA SUL SUDANESA;SSP;SUDAO DO SUL
COROA SUECA;SEK;SUECIA
DOLAR DO SURINAME;SRD;SURINAME
FLORIM/SURINAME;SRG;SURINAME
DOLAR/SURINAME;SRD;SURINAME
SOMONI TADJIQUISTAO;TJS;TADJIQUISTAO, REPUBLICA DO
BATH/TAILANDIA;THB;TAILANDIA
XELIM TANZANIA;T SH;TANZANIA, REP.UNIDA DA
XELIM DA TANZANIA;TZS;TANZANIA, REP.UNIDA DA
COROA TCHECA;CZK;TCHECA, REPUBLICA
ESCUDO TIMOR LESTE;TPE;TIMOR LESTE
PAANGA/TONGA;TOP;TONGA
DOLAR/TRIN. TOBAG;TTD;TRINIDAD E TOBAGO
DINAR/TUNISIA;TND;TUNISIA
NOVO MANAT TURCOMANO;TMT;TURCOMENISTAO, REPUBLICA DO
LIRA TURQUIA;TRL;TURQUIA
LIRA TURCA;TRY;TURQUIA
HRYVNIA UCRANIA;UAH;UCRANIA
XELIM/UGANDA;UGX;UGANDA
PESO/URUGUAIO;UYU;URUGUAI
SOM UZBEQUISTAO;UZS;UZBEQUISTAO, REPUBLICA DO
VATU VANUATU;VUV;VANUATU
BOLIVAR/VENZUELA;VEB;VENEZUELA
BOLIVAR VENEZUELANO;VEF;VENEZUELA
BOLIVAR SOBERANO VENEZUELANO;VES;VENEZUELA
DONGUE/VIETNAN;VND;VIETNA
QUACHA ZAMBIA;ZMK;ZAMBIA
QUACHA ZAMBIA;ZMW;ZAMBIA
DOLAR ZIMBABUE;ZWL;ZIMBABUE
