725;A;CUP;0,2024;0,2024;24;24
730;A;DOP;0,08737;0,08814;55,12;55,6
735;A;PHP;0,08765;0,0877;55,401;55,421
741;A;MXN;0,284;0,2842;17,0973;17,1078
745;A;UYU;0,129;0,1291;37,62;37,65
755;B;BWP;0,359;0,362;0,0739;0,0745
760;A;MWK;0,004544;0,004676;1039;1069
766;A;ZMW;0,2776;0,2784;17,45;17,5
770;A;GTQ;0,6189;0,6192;7,846;7,849
775;A;MMK;0,002306;0,002321;2093,7;2106,3
778;B;PGK;1,3286;1,3652;0,2735;0,281
780;A;LAK;0,0002598;0,0002605;18650;18700
785;A;ZAR;0,2589;0,2592;18,7466;18,7616
795;A;CNY;0,6697;0,67;7,2515;7,2535
796;A;CNH;0,669;0,6691;7,2609;7,2617
800;A;QAR;1,331;1,334;3,6419;3,6497
805;A;OMR;12,6144;12,6225;0,3849;0,3851
810;A;YER;0,0194;0,01944;249,92;250,42
815;A;IRR;0,0001156;0,0001157;42000;42005
820;A;SAR;1,2952;1,2954;3,7504;3,7506
825;A;KHR;0,001173;0,001179;4120;4140
828;A;MYR;1,0393;1,0406;4,669;4,674
830;A;RUB;0,05559;0,05561;87,3705;87,3795
831;A;BYN;1,92;1,9294;2,5181;2,5301
835;A;TJS;0,4376;0,4457;10,9;11,1
840;A;MUR;0,1063;0,107;45,4;45,7
845;A;NPR;0,037;0,03701;131,29;131,3
850;A;SCR;0,3358;0,3542;13,7153;14,4656
855;A;LKR;0,01577;0,0158;307,5;308
860;A;INR;0,05916;0,05921;82,052;82,107
865;A;IDR;0,000324;0,0003241;14990;14995
870;A;MVR;0,3134;0,3151;15,42;15,5
875;A;PKR;0,01693;0,01699;286;286,9
880;A;ILS;1,3142;1,3155;3,6932;3,6964
892;A;KGS;0,05566;0,0557;87,2267;87,281
893;A;UZS;0,0004214;0,0004218;11517,13;11527,13
905;A;BDT;0,04488;0,04493;108,13;108,23
912;B;WST;1,7634;1,8316;0,363;0,377
913;A;KZT;0,01069;0,01071;453,59;454,63
915;A;MNT;0,0014;0,001421;3420;3470
920;A;VUV;0,03982;0,04188;116;122
930;A;KRW;0,00368;0,003683;1319,16;1320,04
946;A;TZS;0,002007;0,002016;2410;2420
950;A;KES;0,03455;0,0346;140,4;140,6
955;A;UGX;0,00132;0,001324;3670;3680
960;A;SOS;0,008478;0,008584;566;573
975;A;PLN;1,1888;1,1894;4,0846;4,0862
978;B;EUR;5,2843;5,2869;1,0878;1,0882
998;A;XAU;298,2075;298,2443;0,01629;0,01629
